Male, 110.90, 146.03
Male, 44.83, 211.82
Male, 97.13, 209.30
Male, 69.87, 207.73
Female, 48.73, 158.87
Male, 99.25, 195.41
Male, 50.15, 184.07
Male, 64.86, 220.50
Male, 108.96, 192.70
Female, 88.13, 220.30
Female, 101.98, 137.20
Male, 45.99, 158.41
Male, 74.95, 182.40
Male, 61.29, 173.22
Female, 93.91, 162.94
Female, 59.19, 208.28
Female, 115.93, 145.70
Male, 66.32, 189.89
Female, 97.96, 216.69
Female, 54.05, 137.74
Female, 62.62, 205.15
Female, 84.12, 177.03
Female, 81.61, 181.10
Male, 111.97, 160.98
Female, 119.25, 173.58
Male, 93.20, 183.02
Male, 105.30, 157.19
Male, 114.57, 185.62
Male, 95.58, 189.92
Male, 68.19, 221.31
Male, 100.91, 155.55
Male, 72.93, 150.38
Male, 116.68, 137.15
Female, 86.51, 172.15
Female, 59.85, 155.53
Female, 56.46, 164.25
Male, 65.47, 204.84
Female, 56.09, 205.31
Male, 98.38, 142.48
Female, 64.46, 167.56
Male, 113.99, 173.27
Female, 52.10, 219.39
Female, 84.48, 176.72
Female, 95.34, 155.51
Male, 99.88, 181.25
Male, 63.80, 159.63
Female, 41.92, 176.16
Female, 63.07, 157.79
Female, 77.09, 180.87
Female, 91.26, 153.32
Male, 87.44, 209.17
Female, 53.87, 219.30
Female, 54.66, 173.83
Male, 47.32, 202.23
Male, 115.15, 201.19
Female, 91.60, 221.95
Male, 42.11, 185.02
Female, 110.49, 217.96
Male, 101.30, 215.61
Male, 57.94, 167.50
Female, 100.15, 218.22
Female, 44.42, 145.09
Male, 68.37, 140.14
Male, 103.26, 155.49
Female, 55.30, 204.32
Male, 103.96, 174.80
Male, 67.85, 188.95
Female, 63.53, 205.42
Male, 89.49, 201.77
Female, 82.63, 179.34
Female, 42.17, 179.28
Male, 82.18, 167.17
Male, 65.77, 170.38
Male, 101.10, 138.12
Male, 63.12, 196.30
Female, 47.30, 145.01
Female, 69.80, 180.72
Male, 84.89, 139.97
Female, 57.64, 163.09
Female, 87.30, 197.18
Male, 77.29, 193.82
Female, 74.83, 186.80
Male, 46.83, 188.95
Male, 80.93, 199.38
Male, 108.46, 213.82
Male, 68.01, 159.03
Male, 42.30, 145.10
Male, 63.70, 176.42
Female, 119.50, 138.08
Male, 49.72, 138.55
Male, 91.95, 200.34
Female, 66.21, 205.44
Male, 98.02, 161.27
Female, 41.24, 161.29
Male, 107.37, 207.46
Female, 75.16, 140.53
Male, 114.36, 145.99
Male, 53.55, 174.11
Female, 78.67, 158.74
Male, 105.64, 164.21
